negativeperc,npratio,positivesampleperc,meantestAUPRC,stdtestAUPRC,meantrainAUPRC,stdtrainAUPRC,meantestAVGPREC,stdtestAVGPREC,meantrainAVGPREC,stdtrainAVGPREC,meantestAUROC,stdtestAUROC,meantrainAUROC,stdtrainAUROC,meanfittime
0.25,0.5,1.0,0.63,0.077,0.037,0.003,0.637,0.071,0.038,0.003,0.982,0.002,0.989,0.001,64.225
0.5,0.5,1.0,0.622,0.09,0.056,0.015,0.624,0.09,0.056,0.015,0.979,0.002,0.99,0.001,150.025
0.25,3.0,1.0,0.599,0.103,0.039,0.003,0.616,0.089,0.04,0.004,0.981,0.005,0.983,0.002,27.933
0.25,1.0,0.5,0.549,0.16,0.04,0.003,0.555,0.153,0.041,0.003,0.978,0.004,0.99,0.001,51.479
0.5,1.5,0.25,0.544,0.072,0.062,0.008,0.552,0.066,0.063,0.008,0.973,0.008,0.99,0.001,136.051
0.5,0.5,1.5,0.541,0.087,0.042,0.008,0.559,0.086,0.043,0.008,0.98,0.003,0.99,0.002,135.75
1.0,0.5,1.0,0.534,0.073,0.055,0.011,0.543,0.063,0.056,0.011,0.977,0.004,0.992,0.0,488.399
0.5,0.5,0.75,0.532,0.16,0.054,0.005,0.542,0.152,0.054,0.005,0.979,0.006,0.992,0.001,166.433
1.0,3.0,0.75,0.526,0.056,0.077,0.011,0.542,0.042,0.078,0.011,0.972,0.008,0.991,0.001,140.051
1.0,5.0,1.25,0.523,0.01,0.059,0.006,0.538,0.003,0.059,0.007,0.977,0.015,0.981,0.011,128.683
0.25,0.5,0.75,0.519,0.08,0.035,0.006,0.526,0.071,0.036,0.007,0.97,0.006,0.983,0.006,68.761
1.0,1.5,1.5,0.509,0.066,0.041,0.003,0.523,0.059,0.041,0.003,0.985,0.004,0.991,0.0,155.94
0.5,1.5,0.75,0.506,0.055,0.039,0.005,0.525,0.046,0.039,0.005,0.979,0.003,0.99,0.001,86.933
0.25,3.0,1.25,0.494,0.083,0.041,0.005,0.512,0.077,0.042,0.005,0.976,0.004,0.982,0.0,26.68
0.5,5.0,1.5,0.49,0.155,0.043,0.007,0.509,0.15,0.044,0.007,0.978,0.009,0.982,0.001,55.862
0.5,0.5,0.5,0.488,0.278,0.032,0.004,0.493,0.277,0.032,0.004,0.978,0.008,0.99,0.001,193.465
1.0,1.0,1.0,0.474,0.098,0.05,0.004,0.482,0.091,0.051,0.004,0.979,0.004,0.99,0.002,298.446
0.5,3.0,0.5,0.47,0.158,0.066,0.007,0.48,0.152,0.067,0.007,0.968,0.015,0.988,0.001,70.675
0.5,1.5,0.5,0.469,0.195,0.051,0.013,0.478,0.193,0.051,0.014,0.982,0.004,0.99,0.001,102.378
1.0,5.0,0.75,0.469,0.092,0.071,0.014,0.482,0.082,0.072,0.014,0.971,0.005,0.986,0.001,111.503
1.0,1.5,0.5,0.463,0.078,0.06,0.016,0.486,0.072,0.061,0.016,0.978,0.005,0.992,0.001,327.028
0.25,0.5,0.5,0.462,0.225,0.047,0.024,0.477,0.22,0.048,0.025,0.979,0.004,0.988,0.001,77.81
0.25,1.5,0.75,0.461,0.151,0.033,0.002,0.471,0.145,0.033,0.002,0.982,0.003,0.988,0.0,38.303
0.25,1.5,0.25,0.45,0.207,0.051,0.009,0.46,0.203,0.052,0.01,0.979,0.007,0.989,0.001,52.953
0.5,1.0,1.0,0.448,0.175,0.037,0.003,0.459,0.17,0.037,0.003,0.98,0.006,0.99,0.001,98.334
0.25,1.0,1.0,0.441,0.174,0.034,0.006,0.46,0.166,0.035,0.006,0.983,0.004,0.988,0.001,42.414
0.5,3.0,0.75,0.438,0.037,0.048,0.005,0.47,0.039,0.049,0.005,0.984,0.003,0.988,0.001,61.839
0.25,0.5,1.5,0.436,0.151,0.031,0.001,0.445,0.147,0.031,0.001,0.977,0.003,0.988,0.002,58.881
1.0,1.0,0.75,0.436,0.199,0.076,0.036,0.445,0.192,0.077,0.037,0.974,0.009,0.992,0.003,347.759
0.5,1.0,0.25,0.43,0.146,0.056,0.012,0.444,0.137,0.057,0.013,0.977,0.005,0.989,0.001,168.807
0.5,1.5,1.25,0.427,0.17,0.033,0.002,0.439,0.17,0.033,0.002,0.982,0.002,0.988,0.0,73.67
0.5,3.0,0.25,0.427,0.188,0.067,0.022,0.444,0.19,0.068,0.022,0.983,0.005,0.988,0.001,93.905
0.25,5.0,1.5,0.422,0.09,0.042,0.002,0.445,0.092,0.042,0.002,0.974,0.004,0.973,0.005,25.223
1.0,3.0,1.25,0.418,0.06,0.056,0.003,0.446,0.065,0.056,0.003,0.98,0.003,0.988,0.0,117.884
0.5,0.5,1.25,0.418,0.196,0.045,0.007,0.436,0.2,0.046,0.008,0.977,0.003,0.991,0.001,142.34
1.0,1.0,1.5,0.412,0.19,0.049,0.012,0.423,0.183,0.05,0.012,0.976,0.007,0.991,0.001,249.522
0.25,1.5,1.0,0.409,0.074,0.028,0.002,0.439,0.076,0.029,0.002,0.984,0.003,0.985,0.001,35.403
1.0,1.5,0.25,0.409,0.176,0.075,0.009,0.426,0.169,0.076,0.009,0.976,0.006,0.99,0.001,521.997
0.25,0.5,1.25,0.408,0.187,0.036,0.003,0.423,0.182,0.037,0.003,0.979,0.003,0.988,0.001,60.649
1.0,3.0,0.5,0.407,0.217,0.077,0.025,0.417,0.215,0.078,0.026,0.971,0.01,0.991,0.001,164.986
1.0,3.0,0.25,0.406,0.115,0.081,0.014,0.424,0.112,0.082,0.014,0.976,0.008,0.991,0.001,233.64
0.5,1.5,1.5,0.404,0.112,0.029,0.004,0.416,0.105,0.03,0.004,0.985,0.001,0.988,0.002,71.027
0.25,5.0,0.75,0.402,0.033,0.047,0.009,0.426,0.034,0.048,0.009,0.978,0.004,0.979,0.006,25.38
1.0,3.0,1.0,0.396,0.083,0.055,0.008,0.424,0.089,0.056,0.008,0.983,0.001,0.99,0.001,125.103
0.25,1.0,1.25,0.394,0.191,0.026,0.005,0.405,0.193,0.026,0.005,0.981,0.005,0.985,0.002,40.49
0.5,1.0,1.25,0.39,0.142,0.03,0.003,0.409,0.139,0.03,0.003,0.98,0.002,0.989,0.001,91.782
0.25,1.5,1.25,0.387,0.15,0.027,0.001,0.406,0.15,0.027,0.001,0.983,0.001,0.984,0.001,33.711
0.5,3.0,1.25,0.385,0.062,0.042,0.004,0.406,0.061,0.042,0.004,0.986,0.001,0.985,0.001,63.053
1.0,1.5,1.25,0.385,0.197,0.042,0.004,0.398,0.195,0.043,0.004,0.984,0.002,0.991,0.001,167.225
0.25,1.5,0.5,0.383,0.216,0.039,0.006,0.391,0.211,0.04,0.006,0.981,0.004,0.988,0.001,42.833
0.5,5.0,1.0,0.381,0.073,0.055,0.005,0.403,0.074,0.056,0.006,0.984,0.004,0.984,0.0,58.16
1.0,3.0,1.5,0.367,0.106,0.056,0.001,0.394,0.115,0.056,0.001,0.987,0.001,0.988,0.0,116.742
0.25,0.5,0.25,0.36,0.16,0.021,0.001,0.374,0.159,0.021,0.001,0.985,0.004,0.985,0.001,99.638
0.25,5.0,1.0,0.355,0.14,0.04,0.004,0.373,0.142,0.04,0.005,0.977,0.005,0.98,0.0,24.993
0.25,3.0,0.5,0.355,0.119,0.044,0.004,0.379,0.126,0.045,0.004,0.987,0.001,0.986,0.0,31.62
0.5,1.5,1.0,0.355,0.168,0.037,0.006,0.368,0.171,0.038,0.006,0.981,0.005,0.989,0.001,79.233
0.5,5.0,0.25,0.354,0.102,0.056,0.012,0.373,0.102,0.057,0.012,0.984,0.006,0.987,0.003,96.711
0.25,1.0,0.25,0.349,0.178,0.05,0.007,0.366,0.179,0.051,0.007,0.975,0.004,0.988,0.002,66.536
0.5,5.0,1.25,0.349,0.112,0.044,0.007,0.369,0.118,0.045,0.007,0.977,0.006,0.98,0.003,56.184
1.0,0.5,0.75,0.346,0.218,0.074,0.005,0.354,0.217,0.075,0.005,0.97,0.011,0.992,0.001,580.916
0.5,1.0,0.5,0.34,0.245,0.049,0.001,0.351,0.246,0.05,0.001,0.981,0.004,0.991,0.001,122.67
1.0,5.0,0.25,0.339,0.174,0.091,0.006,0.362,0.186,0.092,0.006,0.97,0.011,0.991,0.001,182.066
1.0,1.5,0.75,0.339,0.091,0.054,0.006,0.364,0.097,0.055,0.006,0.976,0.006,0.992,0.001,268.615
1.0,5.0,0.5,0.333,0.117,0.057,0.014,0.352,0.123,0.058,0.014,0.985,0.002,0.988,0.001,131.476
0.5,3.0,1.5,0.324,0.071,0.04,0.005,0.344,0.074,0.041,0.005,0.988,0.001,0.984,0.001,62.245
0.25,3.0,0.75,0.324,0.159,0.041,0.011,0.347,0.17,0.042,0.012,0.986,0.002,0.984,0.002,28.388
1.0,5.0,1.0,0.321,0.073,0.06,0.006,0.343,0.077,0.061,0.006,0.987,0.002,0.986,0.001,118.381
0.25,5.0,0.5,0.32,0.077,0.052,0.006,0.34,0.08,0.053,0.006,0.974,0.003,0.983,0.001,26.57
0.25,1.0,0.75,0.302,0.19,0.039,0.004,0.315,0.188,0.04,0.004,0.979,0.003,0.989,0.001,45.74
0.5,5.0,0.5,0.292,0.075,0.063,0.012,0.313,0.079,0.064,0.012,0.986,0.001,0.984,0.002,72.35
0.25,3.0,1.5,0.285,0.151,0.029,0.003,0.303,0.158,0.029,0.003,0.986,0.002,0.978,0.002,27.381
1.0,0.5,1.25,0.28,0.177,0.05,0.007,0.291,0.172,0.051,0.007,0.972,0.01,0.992,0.0,442.991
1.0,5.0,1.5,0.276,0.095,0.05,0.006,0.293,0.099,0.051,0.006,0.976,0.015,0.983,0.005,127.226
0.5,3.0,1.0,0.268,0.119,0.044,0.005,0.287,0.124,0.045,0.006,0.986,0.002,0.986,0.001,63.158
1.0,0.5,1.5,0.263,0.187,0.055,0.015,0.284,0.2,0.056,0.015,0.976,0.006,0.991,0.003,406.675
0.25,1.0,1.5,0.254,0.136,0.026,0.005,0.275,0.148,0.026,0.005,0.978,0.001,0.984,0.005,39.379
0.5,5.0,0.75,0.251,0.108,0.05,0.007,0.267,0.113,0.051,0.007,0.981,0.006,0.984,0.001,62.467
0.25,5.0,0.25,0.242,0.14,0.045,0.018,0.258,0.145,0.046,0.019,0.986,0.003,0.983,0.004,33.576
0.25,3.0,0.25,0.231,0.107,0.046,0.004,0.248,0.115,0.046,0.004,0.981,0.003,0.987,0.001,39.298
0.5,1.0,0.75,0.228,0.216,0.038,0.006,0.235,0.213,0.039,0.006,0.975,0.003,0.988,0.003,107.898
1.0,0.5,0.5,0.224,0.157,0.052,0.021,0.238,0.163,0.052,0.022,0.969,0.014,0.99,0.002,742.286
1.0,0.5,0.25,0.217,0.169,0.027,0.004,0.23,0.177,0.027,0.004,0.979,0.01,0.985,0.002,1131.942
1.0,1.0,0.25,0.213,0.175,0.054,0.011,0.224,0.181,0.054,0.011,0.97,0.002,0.989,0.001,702.364
1.0,1.0,1.25,0.212,0.114,0.055,0.014,0.23,0.124,0.056,0.014,0.974,0.008,0.991,0.001,271.58
0.25,5.0,1.25,0.201,0.033,0.034,0.003,0.215,0.037,0.034,0.003,0.985,0.001,0.977,0.002,24.501
0.25,1.5,1.5,0.196,0.119,0.026,0.001,0.211,0.128,0.026,0.001,0.982,0.001,0.985,0.0,32.972
0.5,0.5,0.25,0.174,0.206,0.025,0.008,0.182,0.214,0.025,0.008,0.949,0.053,0.982,0.006,293.607
0.5,1.0,1.5,0.162,0.127,0.036,0.003,0.172,0.134,0.037,0.003,0.98,0.004,0.989,0.001,86.123
1.0,1.5,1.0,0.135,0.076,0.047,0.009,0.146,0.083,0.047,0.009,0.979,0.004,0.992,0.0,230.347
1.0,1.0,0.5,0.078,0.051,0.048,0.015,0.087,0.058,0.049,0.015,0.965,0.012,0.988,0.007,443.816
