,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__architecture,param_model__dropout_rate,param_model__epochs,param_model__negative_perc,param_model__np_ratio,param_model__positive_sample_perc,params,split0_test_AVG_PREC,split1_test_AVG_PREC,split2_test_AVG_PREC,split3_test_AVG_PREC,split4_test_AVG_PREC,mean_test_AVG_PREC,std_test_AVG_PREC,rank_test_AVG_PREC,split0_train_AVG_PREC,split1_train_AVG_PREC,split2_train_AVG_PREC,split3_train_AVG_PREC,split4_train_AVG_PREC,mean_train_AVG_PREC,std_train_AVG_PREC,split0_test_AU_PRC,split1_test_AU_PRC,split2_test_AU_PRC,split3_test_AU_PRC,split4_test_AU_PRC,mean_test_AU_PRC,std_test_AU_PRC,rank_test_AU_PRC,split0_train_AU_PRC,split1_train_AU_PRC,split2_train_AU_PRC,split3_train_AU_PRC,split4_train_AU_PRC,mean_train_AU_PRC,std_train_AU_PRC,split0_test_AU_ROC,split1_test_AU_ROC,split2_test_AU_ROC,split3_test_AU_ROC,split4_test_AU_ROC,mean_test_AU_ROC,std_test_AU_ROC,rank_test_AU_ROC,split0_train_AU_ROC,split1_train_AU_ROC,split2_train_AU_ROC,split3_train_AU_ROC,split4_train_AU_ROC,mean_train_AU_ROC,std_train_AU_ROC
0,1241.034353876114,11.00128672494571,6.949871778488159,0.5178608348725775,"(100,)",0.2,100,1,1,0.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 1, 'model__positive_sample_perc': 0.5}",0.5886054989303358,0.5097069617230118,0.4248336786407541,0.42918221720036737,0.5411151500175537,0.4986888957737611,0.0637058439776191,15,0.9209619264100797,0.8521957230752649,0.6992912734307637,0.7837585811236152,0.9039529542177838,0.8320320916515014,0.08177793670086862,0.5599552649276137,0.5332791846615913,0.5282766789834059,0.4691023895998252,0.5420291778094855,0.5265286141963812,0.030672472651501713,15,0.9570933498440944,0.9128983383030954,0.794599094234753,0.8673577755123809,0.9357297553306859,0.893535662645002,0.05773830723502452,0.9718368936321788,0.973111934025986,0.9524724158124696,0.9568710695413113,0.9804535704282061,0.966949192928489,0.010539275055815438,15,0.9999833034456862,0.9999639633598059,0.999907432828669,0.9999434135383949,0.9999755270371473,0.9999547280419406,2.720036097479918e-05
1,820.0680441379548,8.00960258187812,8.911290884017944,0.49562889994360215,"(100,)",0.2,100,1,1,1,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 1, 'model__positive_sample_perc': 1}",0.6932884308980432,0.7107567374508541,0.67492704041715,0.5253089768778642,0.7407139400984993,0.6689991171982359,0.07504480121776087,13,0.9839163774033948,0.9732134493535298,0.9502436461608343,0.8808504225311224,0.9953055775046684,0.95670589459071,0.04073980499795584,0.6929470724599273,0.7111358813912133,0.6849925545915253,0.5281481273372549,0.7401491973615502,0.6714746508012477,0.07412884219091383,13,0.9844172485498391,0.9739643187045688,0.9643614218785977,0.8984890612244295,0.9952957709413917,0.9633055642597654,0.03401464238957241,0.975740862966153,0.9848754875653386,0.960812457387055,0.965113089677377,0.9846790086820219,0.9742441951386503,0.009878638570097398,7,0.999995540407097,0.9999918766112237,0.9999891986338596,0.9999675713123761,0.9999984933524878,0.9999885360634087,1.0948310202709052e-05
2,721.3172049045563,38.78459552044895,10.591489362716676,0.4408749078475466,"(100,)",0.2,100,1,1,1.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 1, 'model__positive_sample_perc': 1.5}",0.7014516289078453,0.8041467760939685,0.48863695586605455,0.6246933554087565,0.6891028071909963,0.6616065311392519,0.10386761743063297,14,0.9936579324512742,0.9995502515248544,0.9143003918534689,0.957752174653822,0.9974569198786256,0.972543534072409,0.03288435898044098,0.7000612356872007,0.8038547544747165,0.4873855639689514,0.6248064310749427,0.6884723062417445,0.6609162837141659,0.10405753641819947,14,0.9936418681815373,0.9995494475034424,0.9288221340351654,0.9593427622720841,0.9974523960357123,0.9757617216055884,0.0276729037474536,0.9735276745704509,0.9848192807581703,0.9670840348452395,0.9631079751907775,0.9841918805371704,0.974546177572682,0.008787821104480493,5,0.9999981919356742,0.9999998390522862,0.9999765016637276,0.9999877366939889,0.9999990834933531,0.9999922705678059,9.032993489305118e-06
3,577.9365277290344,3.255456372000169,12.074426412582397,0.4440056614592183,"(100,)",0.2,100,1,3,0.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 3, 'model__positive_sample_perc': 0.5}",0.7568457336476847,0.7929900732735778,0.7319087365048399,0.6337944296380035,0.7318091859119934,0.7294697523109029,0.05281940939214516,11,0.999699862052698,0.9985702137084665,0.9948029179411159,0.9991437447218809,0.9992264793120627,0.9982886435472448,0.0017794289178094521,0.7564747065304279,0.7925075898125169,0.7313325968233555,0.6331249690506205,0.7314928187393958,0.7289866569359578,0.052899404068961195,11,0.9996993270391605,0.9985674891845078,0.9947916233581515,0.9991421487696628,0.9992250979581119,0.9982851372619189,0.0017833838378124541,0.977794214500219,0.9903055101980899,0.9644033225786122,0.9634180474014592,0.9855421429015465,0.9762926648546899,0.010874546246475353,1,0.9999998923237126,0.9999995171568586,0.9999983458172715,0.9999996959880391,0.999999722812624,0.9999994348197012,5.573444974100164e-07
4,424.6625657081604,2.5066545465836634,13.767481803894043,0.32651223472991553,"(100,)",0.2,100,1,3,1,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 3, 'model__positive_sample_perc': 1}",0.7545823514250736,0.8096137365308886,0.7244062343620598,0.6444179739739598,0.7418691686795335,0.7349780089981267,0.05350734724775272,9,0.9998895745230877,0.9992728125153989,0.9990490965377545,0.999298649943072,0.9998758255890308,0.9994771918216688,0.00034231039956875153,0.7541851156298438,0.8093852460138251,0.7236246900499334,0.6437106606105465,0.7415233171128301,0.7344859223491154,0.05367605580968108,9,0.9998893814473864,0.9992714840213595,0.9990472692834661,0.9992974364037966,0.9998756050587652,0.9994762352429547,0.0003429547836219127,0.9711826101458607,0.9830844788311741,0.9600168003936076,0.9673574611794187,0.9872971250538203,0.9737876992848925,0.010066834287664434,9,0.9999999596213922,0.9999997451661199,0.9999996646926902,0.9999997406956804,0.9999999552923586,0.9999998130936483,1.2130071078959402e-07
5,365.71680254936217,1.4201020499592716,14.990607833862304,0.4275456316659214,"(100,)",0.2,100,1,3,1.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 3, 'model__positive_sample_perc': 1.5}",0.7621877597496953,0.8035804098028783,0.7393693488578309,0.6877129448812079,0.7255370712157294,0.7436776056630272,0.03849845241285423,2,0.9999129438402057,0.999987731566679,0.9993628130639914,0.9981507406746666,0.9968782337678799,0.9988584925826846,0.0011885895020772278,0.7619030724539358,0.8031710406254426,0.7387360378201857,0.6872328829201233,0.7251256316649537,0.7432338322177512,0.03853635178096198,2,0.999912789545317,0.9999877100431117,0.9993616500445597,0.9981468080495092,0.9968714434269361,0.9988560802218867,0.0011911903050720975,0.9742259875199832,0.985454209505813,0.9687848198638023,0.9631024836931232,0.9879033433242699,0.9758941751231085,0.009513849279309575,2,0.9999999685944162,0.9999999955292302,0.9999997764617934,0.9999993785637858,0.9999990209026554,0.9999996280103762,3.752089566614959e-07
6,462.61301584243773,1.8068008052056423,16.42809729576111,0.42495160003506205,"(100,)",0.2,100,1,5,0.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 5, 'model__positive_sample_perc': 0.5}",0.7456256591271495,0.7760616062406219,0.7490275118823683,0.682070934670859,0.7307638350644252,0.736709967664759,0.030985601019288156,7,0.998321999790024,0.9988974267316393,0.9992036033749128,0.9996083893033104,0.9984843740632551,0.9989031586526282,0.0004692070571950838,0.7451853325390263,0.7757899785918411,0.7486228561651258,0.6815855938048742,0.7302099940426635,0.7362788094402525,0.031051590981854817,7,0.9983187502414499,0.9988953521835888,0.9992020873736857,0.9996076812498315,0.9984813298041373,0.9989010401705386,0.0004701535365910245,0.9738735394535137,0.9894909780896103,0.960163383899618,0.9670092715144316,0.9854216170902873,0.9751917698934595,0.010987809059209588,3,0.9999994302129792,0.9999996244553345,0.9999997138710957,0.999999861406312,0.9999994724498326,0.9999996204791108,1.5804914269143874e-07
7,341.23173584938047,1.0737647712143075,18.05778102874756,0.40752136017832846,"(100,)",0.2,100,1,5,1,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 5, 'model__positive_sample_perc': 1}",0.7465519422570358,0.7984221368626381,0.7490318821573551,0.6633711613719585,0.7579300625006818,0.7430615005539531,0.04400963331044352,3,0.9991537629769386,0.9995023865990778,0.9978739600051988,0.9998404968152453,0.9986018029944158,0.9989944818781753,0.0006940958033662563,0.7457090111529511,0.798119267811549,0.7485283808692343,0.662849393551665,0.7575499541893005,0.7425512645722481,0.04407002461874383,3,0.9991519580650916,0.9995015009909924,0.9978698970503697,0.9998402169371993,0.9985989233201359,0.9989924992727577,0.0006954527840791934,0.9706121383708701,0.9857971930621993,0.9676771165918889,0.9684671744112576,0.9830594834718841,0.9751226228665869,0.007707335638715333,4,0.9999997263227696,0.9999998211692069,0.999999284677739,0.9999999418800662,0.9999995529235869,0.9999996653946738,2.289179940866265e-07
8,291.7045317173004,0.7128768994048378,19.789804458618164,0.6266442340800938,"(100,)",0.2,100,1,5,1.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 5, 'model__positive_sample_perc': 1.5}",0.776234077949861,0.803709990246545,0.7413783814769709,0.6754675645901055,0.7439100672633678,0.748140130182957,0.04294692375548585,1,0.9998099652375183,0.9992785622618319,0.9983688251692359,0.9996930268173398,0.9992980103837272,0.9992896779739306,0.0005062710740608837,0.7760133759096063,0.8034048822211484,0.7408601175976683,0.6749903976708158,0.7434094711211294,0.7477357632570995,0.0430268505596488,1,0.9998096220477756,0.9992772050627702,0.9983657970162184,0.9996924649043633,0.999296616579169,0.9992883411220592,0.0005072139503538698,0.9728596938154319,0.9724457433824022,0.9615171636938642,0.9677796245481,0.9875884256744815,0.9724381310897307,0.008610194885478718,12,0.9999999327023205,0.9999997541076595,0.9999994366837195,0.9999998927016609,0.9999997496372087,0.9999997531665139,1.7428589385994817e-07
9,327.06126990318296,1.8587167428652167,20.883321857452394,0.7042124721671934,"(100,)",0.2,100,1,10,0.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 10, 'model__positive_sample_perc': 0.5}",0.7489854764771654,0.8017850479087668,0.7697582709176095,0.6687030242708201,0.7198182668896852,0.7418100930283483,0.04529426762974488,4,0.999865441913257,0.9997910913004221,0.9986291755971813,0.9996781092928977,0.9991302261322772,0.999418808847207,0.00047161694089563767,0.7486418487990778,0.8015582986711015,0.7690237826213839,0.6680932500775898,0.7194992717348738,0.7413633665506028,0.04536086625093034,4,0.9998652073181382,0.9997907241054166,0.9986266276008531,0.9996775393006823,0.9991285353721882,0.9994177267394557,0.00047251200287035783,0.9713675763635119,0.97601907499675,0.9734634322965816,0.969246931186007,0.9809870353277736,0.9742168060640312,0.004061264901023383,8,0.9999999506483683,0.999999923996913,0.9999995171574738,0.9999998837601326,0.9999996959880391,0.9999997943101853,1.6476798099069457e-07
10,263.60380663871763,0.28172754658763,22.27126541137695,0.42970714721287817,"(100,)",0.2,100,1,10,1,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 10, 'model__positive_sample_perc': 1}",0.7658308864066442,0.8003193884686197,0.7316389675403706,0.6595768066327404,0.7277261463666104,0.7370185623021969,0.046796697683611665,5,1.0,0.9993843745067588,0.999241941934284,0.9996825765678916,0.999795599863817,0.9996208985745504,0.0002748069780623064,0.7656300344681153,0.800020169273956,0.7309073113537944,0.659147480736279,0.7272590322843107,0.7365929294293916,0.04686877243597613,5,1.0,0.9993832678372403,0.9992405192491426,0.9996818115863255,0.9997952483797179,0.9996201694104853,0.0002753108354040765,0.9712707398592078,0.9784297942881106,0.9671563216182818,0.9668238527112852,0.9807157984142278,0.9728793037558447,0.00573108654080123,10,1.0,0.9999997809322785,0.9999997406956804,0.9999998837601326,0.9999999239970099,0.9999998658770203,9.441683069488543e-08
11,233.04613099098205,1.228858015094163,23.502999019622802,0.42994305745220457,"(100,)",0.2,100,1,10,1.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 10, 'model__positive_sample_perc': 1.5}",0.7680222800427822,0.7965082449712456,0.7286988185032235,0.6507020270213452,0.7252135802473373,0.7338291237086818,0.049210773051346704,10,0.9998882779890943,0.9994427317921576,0.9984486790016004,0.9997652984729124,0.9995882282629418,0.9994266431037413,0.0005119719955404535,0.767841233696632,0.7961857489626403,0.7274149594904324,0.6502306345031136,0.7247381954219138,0.733282288940489,0.04930753595169607,10,0.9998880803466365,0.9994417446079342,0.9984453686240498,0.9997648837165416,0.9995874458657772,0.9994255046321878,0.000513090586327986,0.9693775083344518,0.97523404607824,0.9594668610010777,0.9650421309135713,0.9774656932143608,0.9693172540601569,0.00658354853054268,14,0.9999999596213922,0.9999997988153577,0.9999995171574739,0.9999999150554815,0.9999998524647837,0.9999998086228977,1.5562701070088697e-07
12,287.78346490859985,0.9149826360724016,25.415564346313477,0.7080657870754214,"(100,)",0.2,100,1,15,0.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 15, 'model__positive_sample_perc': 0.5}",0.7442554156743133,0.7645712571145004,0.7587599015121047,0.6686845019766423,0.7486775127148215,0.7369897607100824,0.03489889806943027,6,0.9997026027845017,0.9993920880495093,0.9998187191253622,0.9998498693689364,0.9995615613430723,0.9996649681342763,0.00016994158164844906,0.7435367403735111,0.7640683923991929,0.7582531426702015,0.6680030388327219,0.7483352483581112,0.7364393551438733,0.03497028818679886,6,0.9997020775370478,0.9993910089597675,0.9998184057754189,0.9998496007171117,0.9995607030067409,0.9996643591992174,0.00017025416308913616,0.973346601633309,0.9855020175946687,0.9679475997704625,0.9664463391666678,0.978492998089246,0.974347120578361,0.007014230843013884,6,0.9999998923237127,0.9999997809322785,0.9999999329385381,0.9999999463508303,0.9999998479940195,0.9999998801078759,6.03250088092878e-08
13,234.21816358566284,1.0125937050692655,27.066522645950318,0.20852314071343772,"(100,)",0.2,100,1,15,1,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 15, 'model__positive_sample_perc': 1}",0.7339851337895152,0.8026407499264455,0.7303798663021664,0.6544011450751349,0.7168254664882611,0.727646561650595,0.04723083493548753,12,0.9991943218730881,0.9990627314004503,0.9994403723947789,0.9999395039322445,0.999850445600578,0.999497475040228,0.00034760389671076086,0.7335183390313605,0.8023770850501734,0.729680096341614,0.6535198906596504,0.716511574759388,0.7271214868878669,0.047414409975733145,12,0.9991925814394865,0.9990610055022353,0.9994393986816471,0.9999393992677674,0.9998501790083244,0.999496512779892,0.0003482904279669958,0.968843279461657,0.9755237659680632,0.9680575015078289,0.9703900600016109,0.9779013520282578,0.97214318851318,0.0038791851672526118,13,0.9999997218362575,0.9999996736338026,0.99999979434485,0.9999999776461793,0.9999999463508304,0.9999998227623841,1.2041267971836492e-07
14,208.8532853126526,0.8787597184913749,27.83458580970764,0.9393142645122387,"(100,)",0.2,100,1,15,1.5,"{'model__architecture': (100,), 'model__dropout_rate': 0.2, 'model__epochs': 100, 'model__negative_perc': 1, 'model__np_ratio': 15, 'model__positive_sample_perc': 1.5}",0.7445132254798178,0.7844069190643114,0.7531920970775975,0.6657671437900161,0.7343613236296405,0.7364482071126666,0.039103956906748664,8,0.9978859290971005,0.998611656048561,0.9987101464562957,0.9956367722445841,0.9989298542835012,0.9979548716260085,0.0012108455594200954,0.7441065203457577,0.7842261077657826,0.7525480562586867,0.6649594723462751,0.7340773531438465,0.7359835676837378,0.03928295312500644,8,0.9978813954662241,0.9986091205409231,0.9987078345535394,0.9956268368381567,0.9989278744973679,0.9979506123792422,0.0012138190486366814,0.9682570222038742,0.9773276240234068,0.9680584347035087,0.9694670217978718,0.9808285715229166,0.9727877302430288,0.005276102897686018,11,0.9999993449692517,0.9999995126860889,0.9999995395112945,0.9999986453584683,0.9999996289265771,0.999999334290336,3.5650872602124723e-07
